id;recipient_name;receive_phone_number;receive_address;status_payment;status_order;payment_method;user_id
1;ligate over;from a;../fake-data/blob/hipster.txt;whether funny;net ouch;aggression mariachi;10761
2;outside aha;evergreen nick daily;../fake-data/blob/hipster.txt;than;thaw nondisclosure;once hmph opposite;25657
3;if searchingly zowie;likely;../fake-data/blob/hipster.txt;which;clutch jolly;gratefully genuine;28730
4;over times;amid worriedly;../fake-data/blob/hipster.txt;after up;if since treaty;stay;31739
5;ornery under;upon patiently derivative;../fake-data/blob/hipster.txt;provided warlike;hook given ah;upon unethically amidst;4219
6;hence along;perfume original;../fake-data/blob/hipster.txt;hold before;postpone burst;cautiously times squeeze;31557
7;phew geez dandle;restore reactivate er;../fake-data/blob/hipster.txt;huzzah;but;reallocate since phew;2837
8;joyously;though;../fake-data/blob/hipster.txt;shakily ick;drake calmly;via quickly chilly;14288
9;amongst inasmuch;quarterly;../fake-data/blob/hipster.txt;directive;vital;general athwart;13057
10;nocturnal astride;tantalize;../fake-data/blob/hipster.txt;shanghai bleak crossly;plaintive below unfortunately;manicure effectiveness blah;32722
